id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36358910,"Bright, quiet railroad style apartment",160175680,Chiara,Queens,Ridgewood,40.70617,-73.90503,Entire home/apt,60,13,0,,,1,0
36360072,One More Night (OMN),92178097,Arie,Queens,Springfield Gardens,40.68745,-73.75771,Private room,39,1,18,2020-03-24,1.69,2,332
36368048,"Luxury appartment, special edition for musicians.",253681134,Azamat,Manhattan,Washington Heights,40.83423,-73.94723,Private room,50,3,0,,,1,0
36370217,Brooklyn Awesomely Huge and Hip Apartment - 2,9864136,Anthony,Brooklyn,Bushwick,40.68505,-73.91367,Entire home/apt,75,30,0,,,23,349
36372104,Exposed Brick,32303395,Roderick,Brooklyn,Bedford-Stuyvesant,40.6858,-73.92899,Private room,75,2,3,2019-10-20,0.26,1,0
36374141,Sunny Bedroom with renovated rooftop + balcony!,37872024,Jeano,Brooklyn,Crown Heights,40.67011,-73.9243,Private room,21,10,1,2019-08-24,0.08,1,0
36374510,Shh!@Belindas,271336460,Belinda,Brooklyn,East New York,40.6625,-73.88081,Shared room,200,7,0,,,1,365
36378818,Clean One Bedroom,3449848,Vitaliy,Manhattan,Chelsea,40.73896,-73.99935,Entire home/apt,225,3,0,,,1,0
36379279,1 bedroom on Union Square E/ Gramercy Park/ Cozy!,273519401,Geraldo,Manhattan,Gramercy,40.73623,-73.98776,Entire home/apt,197,2,7,2020-03-03,0.60,1,140
36379292,Safe and Clean Studio in Soho Best Area,273544738,Jane,Manhattan,Nolita,40.72132,-73.99586,Entire home/apt,176,2,15,2020-03-15,1.14,1,326
36379540,Gorgeous brand new Studio Apt 5 min from Manhattan,48434623,Mariana,Queens,Long Island City,40.75267,-73.93028,Entire home/apt,135,4,4,2020-01-04,0.33,1,89
36381819,Wonderful Oasis in the heart of New York City.,273560024,Thea,Manhattan,Hell's Kitchen,40.76443,-73.98516,Private room,70,2,26,2020-03-01,1.93,1,0
36381909,Room w/backyard 10 mins to LGA close to N&W trains,272290982,Yusuf,Queens,Ditmars Steinway,40.77675,-73.92088,Private room,50,1,13,2019-10-06,1.02,1,0
36382148,Lower East Side 1-Bedroom,273568164,Doug,Manhattan,Lower East Side,40.71958,-73.98741,Entire home/apt,150,30,6,2020-06-14,0.49,1,142
